"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C164","SMD_1210_CAPC3225X279N","196.85mil","4759.842mil","196.85mil","4759.842mil","255.905mil","4759.842mil","T","180.00","220uF"
"C165","SMD_1210_CAPC3225X279N","1149.606mil","6696.85mil","1149.606mil","6696.85mil","1149.606mil","6637.795mil","T","90.00","220uF"
"C166","SMD_0603_CAPC1608X95N","2200.787mil","6700.787mil","2200.787mil","6700.787mil","2200.787mil","6669.291mil","T","90.00","470nF"
"C167","SMD_0603_CAPC1608X95N","4133.858mil","5842.52mil","4133.858mil","5842.52mil","4102.362mil","5842.52mil","T","0.00","470nF"
"C168","SMD_0402_CAPC1005X55N","3937.205mil","3984.252mil","3937.205mil","3984.252mil","3937.205mil","4001.968mil","T","270.00","100nF"
"C169","SMD_0603_CAPC1608X95N","4133.858mil","4858.268mil","4133.858mil","4858.268mil","4102.362mil","4858.268mil","T","0.00","470nF"
"C17","SMD_0402_CAPC1005X55N","4629.921mil","5744.095mil","4629.921mil","5744.095mil","4629.921mil","5726.378mil","T","90.00","100nF"
"C170","SMD_0603_CAPC1608X95N","4133.858mil","5251.968mil","4133.858mil","5251.968mil","4102.362mil","5251.968mil","T","0.00","470nF"
"C171","SMD_0603_CAPC1608X95N","2267.716mil","6700.787mil","2267.716mil","6700.787mil","2267.716mil","6669.291mil","T","90.00","470nF"
"C172","SMD_0603_CAPC1608X95N","4133.858mil","5055.118mil","4133.858mil","5055.118mil","4102.362mil","5055.118mil","T","0.00","470nF"
"C173","SMD_0603_CAPC1608X95N","4133.858mil","5448.819mil","4133.858mil","5448.819mil","4102.362mil","5448.819mil","T","0.00","470nF"
"C174","SMD_0603_CAPC1608X95N","4133.858mil","5645.669mil","4133.858mil","5645.669mil","4102.362mil","5645.669mil","T","0.00","470nF"
"C175","SMD_0603_CAPC1608X95N","4133.858mil","4661.417mil","4133.858mil","4661.417mil","4102.362mil","4661.417mil","T","0.00","470nF"
"C176","SMD_0603_CAPC1608X95N","4133.858mil","6039.37mil","4133.858mil","6039.37mil","4102.362mil","6039.37mil","T","0.00","470nF"
"C177","SMD_0603_CAPC1608X95N","196.85mil","3874.016mil","196.85mil","3874.016mil","228.346mil","3874.016mil","T","180.00","470nF"
"C178","SMD_0603_CAPC1608X95N","196.85mil","3677.165mil","196.85mil","3677.165mil","228.346mil","3677.165mil","T","180.00","470nF"
