Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C93        SMD_0603_CAPC1608X95N    893.701mil   3299.213mil    893.701mil   3299.213mil    893.701mil   3267.716mil  T         90.00 220nF          
C92        SMD_1210_CAPC3225X270N    1618.11mil   3598.425mil    1618.11mil   3598.425mil   1677.165mil   3598.425mil  T        180.00 100uF          
C9         SMD_0402_CAPC1005X55N   3326.772mil     342.52mil   3326.772mil     342.52mil   3326.772mil    360.236mil  T        270.00 100nF          
C89        SMD_0603_CAPC1608X95N    890.215mil    3096.05mil    890.215mil    3096.05mil    858.719mil    3096.05mil  T          0.00 100nF          
C85        SMD_0603_CAPC1608X95N    890.215mil    3202.35mil    890.215mil    3202.35mil    921.711mil    3202.35mil  T        180.00 10uF           
C8         SMD_0402_CAPC1005X55N   3653.543mil    698.819mil   3653.543mil    698.819mil   3653.543mil    716.535mil  T        270.00 100nF          
C7         SMD_0402_CAPC1005X55N   2927.165mil    641.732mil   2927.165mil    641.732mil   2944.882mil    641.732mil  T        180.00 100nF          
C668       SMD_1210_CAPC3225X279N     165.48mil   2906.881mil     165.48mil   2906.881mil    106.425mil   2906.881mil  T          0.00 220uF          
C665       SMD_1210_CAPC3225X279N     165.48mil   2749.401mil     165.48mil   2749.401mil    106.425mil   2749.401mil  T          0.00 220uF          
C662       SMD_1210_CAPC3225X279N     165.48mil   2591.921mil     165.48mil   2591.921mil    106.425mil   2591.921mil  T          0.00 220uF          
C659       SMD_1210_CAPC3225X279N    787.402mil   2169.291mil    787.402mil   2169.291mil    787.402mil   2110.236mil  T         90.00 220uF          
C656       SMD_1210_CAPC3225X279N     165.48mil   2434.441mil     165.48mil   2434.441mil    106.425mil   2434.441mil  T          0.00 220uF          
C653       SMD_1210_CAPC3225X279N    472.441mil   2169.291mil    472.441mil   2169.291mil    472.441mil   2110.236mil  T         90.00 220uF          
C605       SMD_1210_CAPC3225X270N     539.37mil   3755.905mil     539.37mil   3755.905mil    480.315mil   3755.905mil  T          0.00 100uF          
C602       SMD_1210_CAPC3225X270N     539.37mil   3598.425mil     539.37mil   3598.425mil    480.315mil   3598.425mil  T          0.00 100uF          
C6         SMD_0402_CAPC1005X55N   3635.827mil    537.402mil   3635.827mil    537.402mil   3635.827mil    519.685mil  T         90.00 100nF          
C599       SMD_1210_CAPC3225X270N   2003.937mil   3755.905mil   2003.937mil   3755.905mil   1944.882mil   3755.905mil  T          0.00 100uF          
C596       SMD_1210_CAPC3225X270N   2003.937mil   3598.425mil   2003.937mil   3598.425mil   1944.882mil   3598.425mil  T          0.00 100uF          
C58        SMD_0603_CAPC1608X95N   3087.065mil    3096.05mil   3087.065mil    3096.05mil   3055.569mil    3096.05mil  T          0.00 100nF          
C54        SMD_0603_CAPC1608X95N   3087.065mil    3202.35mil   3087.065mil    3202.35mil   3118.561mil    3202.35mil  T        180.00 10uF           
C5         SMD_0402_CAPC1005X55N   3271.653mil     342.52mil   3271.653mil     342.52mil   3271.653mil    360.236mil  T        270.00 100nF          
C47        SMD_1210_CAPC3225X270N   3082.677mil   3440.945mil   3082.677mil   3440.945mil   3141.732mil   3440.945mil  T        180.00 100uF          
C43        SMD_1210_CAPC3225X270N   2350.394mil   3440.945mil   2350.394mil   3440.945mil   2409.449mil   3440.945mil  T        180.00 100uF          
C42        SMD_1210_CAPC3225X270N   2350.394mil   3598.425mil   2350.394mil   3598.425mil   2409.449mil   3598.425mil  T        180.00 100uF          
C41        SMD_1210_CAPC3225X270N   3082.677mil   3598.425mil   3082.677mil   3598.425mil   3141.732mil   3598.425mil  T        180.00 100uF          
C407       SMD_1210_CAPC3225X270N   1271.653mil   3755.905mil   1271.653mil   3755.905mil   1212.598mil   3755.905mil  T          0.00 100uF          
C406       SMD_1210_CAPC3225X270N   1271.653mil   3598.425mil   1271.653mil   3598.425mil   1212.598mil   3598.425mil  T          0.00 100uF          
C405       SMD_1210_CAPC3225X270N    885.827mil   3755.905mil    885.827mil   3755.905mil    944.882mil   3755.905mil  T        180.00 100uF          
C404       SMD_1210_CAPC3225X270N    712.598mil    3803.15mil    712.598mil    3803.15mil    712.598mil   3862.205mil  T        270.00 100uF          
C401       SMD_1210_CAPC3225X279N    897.764mil   2906.881mil    897.764mil   2906.881mil    838.709mil   2906.881mil  T          0.00 220uF          
C400       SMD_1210_CAPC3225X279N    897.764mil   2749.401mil    897.764mil   2749.401mil    838.709mil   2749.401mil  T          0.00 220uF          
C4         SMD_0402_CAPC1005X55N   3401.575mil    992.126mil   3401.575mil    992.126mil   3383.858mil    992.126mil  T          0.00 100nF          
C399       SMD_1210_CAPC3225X279N    897.764mil   2591.921mil    897.764mil   2591.921mil    838.709mil   2591.921mil  T          0.00 220uF          
C398       SMD_1210_CAPC3225X279N    629.921mil   2169.291mil    629.921mil   2169.291mil    629.921mil   2110.236mil  T         90.00 220uF          
C397       SMD_1210_CAPC3225X279N    944.882mil   2169.291mil    944.882mil   2169.291mil    944.882mil   2110.236mil  T         90.00 220uF          
C382       SMD_1210_CAPC3225X279N   2362.331mil   2906.881mil   2362.331mil   2906.881mil   2303.276mil   2906.881mil  T          0.00 220uF          
C381       SMD_1210_CAPC3225X279N   2362.331mil   2749.401mil   2362.331mil   2749.401mil   2303.276mil   2749.401mil  T          0.00 220uF          
C377       SMD_1210_CAPC3225X279N   1630.047mil   2906.881mil   1630.047mil   2906.881mil   1570.992mil   2906.881mil  T          0.00 220uF          
C376       SMD_1210_CAPC3225X279N   1630.047mil   2749.401mil   1630.047mil   2749.401mil   1570.992mil   2749.401mil  T          0.00 220uF          
C375       SMD_1210_CAPC3225X279N   1630.047mil   2591.921mil   1630.047mil   2591.921mil   1570.992mil   2591.921mil  T          0.00 220uF          
C374       SMD_1210_CAPC3225X270N   2350.394mil   3755.905mil   2350.394mil   3755.905mil   2409.449mil   3755.905mil  T        180.00 100uF          
C373       SMD_1210_CAPC3225X270N   2177.165mil    3803.15mil   2177.165mil    3803.15mil   2177.165mil   3862.205mil  T        270.00 100uF          
C347       SMD_0603_CAPC1608X95N   2905.512mil    1460.63mil   2905.512mil    1460.63mil   2874.016mil    1460.63mil  T          0.00 1uF            
C30        SMD_0603_CAPC1608X95N   2358.268mil   3299.213mil   2358.268mil   3299.213mil   2358.268mil   3267.716mil  T         90.00 220nF          
C3         SMD_0603_CAPC1608X95N   3608.268mil    399.606mil   3608.268mil    399.606mil   3608.268mil    431.102mil  T        270.00 1nF            
C276       SMD_1210_CAPC3225X279N   2362.331mil   2591.921mil   2362.331mil   2591.921mil   2303.276mil   2591.921mil  T          0.00 220uF          
C273       SMD_1210_CAPC3225X279N   3082.677mil   2248.032mil   3082.677mil   2248.032mil   3141.732mil   2248.032mil  T        180.00 220uF          
C270       SMD_1210_CAPC3225X279N   2362.331mil   2434.441mil   2362.331mil   2434.441mil   2303.276mil   2434.441mil  T          0.00 220uF          
C267       SMD_1210_CAPC3225X279N   1417.323mil   2169.291mil   1417.323mil   2169.291mil   1417.323mil   2110.236mil  T         90.00 220uF          
C262       SMD_1210_CAPC3225X279N   2755.905mil   2169.291mil   2755.905mil   2169.291mil   2755.905mil   2110.236mil  T         90.00 220uF          
C261       SMD_1210_CAPC3225X279N   2913.386mil   2169.291mil   2913.386mil   2169.291mil   2913.386mil   2110.236mil  T         90.00 220uF          
C260       SMD_1210_CAPC3225X279N   3082.677mil   2590.551mil   3082.677mil   2590.551mil   3141.732mil   2590.551mil  T        180.00 220uF          
C26        SMD_0603_CAPC1608X95N   2354.782mil    3096.05mil   2354.782mil    3096.05mil   2323.286mil    3096.05mil  T          0.00 100nF          
C259       SMD_1210_CAPC3225X270N    2736.22mil   3755.905mil    2736.22mil   3755.905mil   2677.165mil   3755.905mil  T          0.00 100uF          
C258       SMD_1210_CAPC3225X270N    2736.22mil   3598.425mil    2736.22mil   3598.425mil   2677.165mil   3598.425mil  T          0.00 100uF          
C257       SMD_0603_CAPC1608X95N   3090.551mil   3299.213mil   3090.551mil   3299.213mil   3090.551mil   3267.716mil  T         90.00 220nF          
C256       SMD_1210_CAPC3225X279N   2165.354mil    472.441mil   2165.354mil    472.441mil   2106.299mil    472.441mil  T          0.00 220uF          
C255       SMD_1210_CAPC3225X279N   1889.764mil     196.85mil   1889.764mil     196.85mil   1889.764mil    255.905mil  T        270.00 220uF          
C254       SMD_1210_CAPC3225X279N     196.85mil    472.441mil     196.85mil    472.441mil    255.905mil    472.441mil  T        180.00 220uF          
C253       SMD_1210_CAPC3225X279N   2165.354mil   1574.803mil   2165.354mil   1574.803mil   2106.299mil   1574.803mil  T          0.00 220uF          
C252       SMD_1210_CAPC3225X279N   2165.354mil   1732.284mil   2165.354mil   1732.284mil   2106.299mil   1732.284mil  T          0.00 220uF          
C251       SMD_1210_CAPC3225X279N   2165.354mil   1889.764mil   2165.354mil   1889.764mil   2106.299mil   1889.764mil  T          0.00 220uF          
C250       SMD_1210_CAPC3225X279N   2165.354mil   1102.362mil   2165.354mil   1102.362mil   2106.299mil   1102.362mil  T          0.00 220uF          
C249       SMD_1210_CAPC3225X279N   2165.354mil   1259.842mil   2165.354mil   1259.842mil   2106.299mil   1259.842mil  T          0.00 220uF          
C248       SMD_1210_CAPC3225X279N   2165.354mil   1417.323mil   2165.354mil   1417.323mil   2106.299mil   1417.323mil  T          0.00 220uF          
C247       SMD_1210_CAPC3225X279N   2165.354mil    629.921mil   2165.354mil    629.921mil   2106.299mil    629.921mil  T          0.00 220uF          
C246       SMD_1210_CAPC3225X279N   2165.354mil    787.402mil   2165.354mil    787.402mil   2106.299mil    787.402mil  T          0.00 220uF          
C245       SMD_1210_CAPC3225X279N   2165.354mil    944.882mil   2165.354mil    944.882mil   2106.299mil    944.882mil  T          0.00 220uF          
C244       SMD_1210_CAPC3225X279N   1417.323mil     196.85mil   1417.323mil     196.85mil   1417.323mil    255.905mil  T        270.00 220uF          
C243       SMD_1210_CAPC3225X279N   1574.803mil     196.85mil   1574.803mil     196.85mil   1574.803mil    255.905mil  T        270.00 220uF          
C242       SMD_1210_CAPC3225X279N   1732.283mil     196.85mil   1732.283mil     196.85mil   1732.283mil    255.905mil  T        270.00 220uF          
C241       SMD_1210_CAPC3225X279N    944.882mil     196.85mil    944.882mil     196.85mil    944.882mil    255.905mil  T        270.00 220uF          
C240       SMD_1210_CAPC3225X279N   1102.362mil     196.85mil   1102.362mil     196.85mil   1102.362mil    255.905mil  T        270.00 220uF          
C239       SMD_1210_CAPC3225X279N   1259.842mil     196.85mil   1259.842mil     196.85mil   1259.842mil    255.905mil  T        270.00 220uF          
C238       SMD_1210_CAPC3225X279N    472.441mil     196.85mil    472.441mil     196.85mil    472.441mil    255.905mil  T        270.00 220uF          
C237       SMD_1210_CAPC3225X279N    629.921mil     196.85mil    629.921mil     196.85mil    629.921mil    255.905mil  T        270.00 220uF          
C233       SMD_0603_CAPC1608X95N   1637.795mil    913.386mil   1637.795mil    913.386mil   1637.795mil    944.882mil  T        270.00 470nF          
C232       SMD_0402_CAPC1005X55N    2460.63mil    937.008mil    2460.63mil    937.008mil    2460.63mil    954.724mil  T        270.00 100nF          
C231       SMD_0805_CAPC2012X145N   2480.315mil   1055.118mil   2480.315mil   1055.118mil   2480.315mil   1019.685mil  T         90.00 22uF           
C227       SMD_0603_CAPC1608X95N   1771.653mil    645.669mil   1771.653mil    645.669mil   1771.653mil    614.173mil  T         90.00 470nF          
C22        SMD_0603_CAPC1608X95N   2354.782mil    3202.35mil   2354.782mil    3202.35mil   2386.278mil    3202.35mil  T        180.00 10uF           
C216       SMD_1210_CAPC3225X279N    787.402mil     196.85mil    787.402mil     196.85mil    787.402mil    255.905mil  T        270.00 220uF          
C215       SMD_1210_CAPC3225X279N     196.85mil    944.882mil     196.85mil    944.882mil    255.905mil    944.882mil  T        180.00 220uF          
C214       SMD_1210_CAPC3225X279N     196.85mil    787.402mil     196.85mil    787.402mil    255.905mil    787.402mil  T        180.00 220uF          
C213       SMD_1210_CAPC3225X279N     196.85mil    629.921mil     196.85mil    629.921mil    255.905mil    629.921mil  T        180.00 220uF          
C212       SMD_1210_CAPC3225X279N     196.85mil   1417.323mil     196.85mil   1417.323mil    255.905mil   1417.323mil  T        180.00 220uF          
C211       SMD_1210_CAPC3225X279N     196.85mil   1259.842mil     196.85mil   1259.842mil    255.905mil   1259.842mil  T        180.00 220uF          
C210       SMD_1210_CAPC3225X279N     196.85mil   1102.362mil     196.85mil   1102.362mil    255.905mil   1102.362mil  T        180.00 220uF          
C209       SMD_1210_CAPC3225X279N     196.85mil   1889.764mil     196.85mil   1889.764mil    255.905mil   1889.764mil  T        180.00 220uF          
C208       SMD_1210_CAPC3225X279N     196.85mil   1732.284mil     196.85mil   1732.284mil    255.905mil   1732.284mil  T        180.00 220uF          
C207       SMD_1210_CAPC3225X279N     196.85mil   1574.803mil     196.85mil   1574.803mil    255.905mil   1574.803mil  T        180.00 220uF          
C2         SMD_0603_CAPC1608X95N   2940.945mil    692.913mil   2940.945mil    692.913mil   2972.441mil    692.913mil  T        180.00 10uF           
C195       SMD_1210_CAPC3225X279N    897.764mil   2434.441mil    897.764mil   2434.441mil    838.709mil   2434.441mil  T          0.00 220uF          
C192       SMD_1210_CAPC3225X279N   1102.362mil   2169.291mil   1102.362mil   2169.291mil   1102.362mil   2110.236mil  T         90.00 220uF          
C189       SMD_1210_CAPC3225X279N   1259.842mil   2169.291mil   1259.842mil   2169.291mil   1259.842mil   2110.236mil  T         90.00 220uF          
C174       SMD_1210_CAPC3225X279N   1574.803mil   2169.291mil   1574.803mil   2169.291mil   1574.803mil   2110.236mil  T         90.00 220uF          
C17        SMD_0402_CAPC1005X55N   2511.811mil   1271.653mil   2511.811mil   1271.653mil   2511.811mil   1253.937mil  T         90.00 100nF          
C167       SMD_1210_CAPC3225X279N   2440.937mil   2169.202mil   2440.937mil   2169.202mil   2440.937mil   2110.147mil  T         90.00 220uF          
