"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C25","SMD_0805_CAPC2012X145N","885.827mil","3401.575mil","885.827mil","3401.575mil","850.394mil","3401.575mil","T","0.00","10uF"
"C24","SMD_0805_CAPC2012X145N","885.827mil","3480.315mil","885.827mil","3480.315mil","850.394mil","3480.315mil","T","0.00","10uF"
"C236","SMD_0805_CAPC2012X145N","2165.354mil","511.811mil","2165.354mil","511.811mil","2129.921mil","511.811mil","T","0.00","22uF"
"C235","SMD_0805_CAPC2012X145N","2165.354mil","433.071mil","2165.354mil","433.071mil","2129.921mil","433.071mil","T","0.00","22uF"
"C234","SMD_0805_CAPC2012X145N","1850.394mil","196.85mil","1850.394mil","196.85mil","1850.394mil","232.284mil","T","270.00","22uF"
"C233","SMD_0603_CAPC1608X95N","1637.795mil","913.386mil","1637.795mil","913.386mil","1637.795mil","944.882mil","T","270.00","470nF"
"C232","SMD_0402_CAPC1005X55N","2460.63mil","937.008mil","2460.63mil","937.008mil","2460.63mil","954.724mil","T","270.00","100nF"
"C231","SMD_0805_CAPC2012X145N","2480.315mil","1055.118mil","2480.315mil","1055.118mil","2480.315mil","1019.685mil","T","90.00","22uF"
"C230","SMD_0805_CAPC2012X145N","1929.134mil","196.85mil","1929.134mil","196.85mil","1929.134mil","232.284mil","T","270.00","22uF"
"C23","SMD_0805_CAPC2012X145N","885.827mil","3637.795mil","885.827mil","3637.795mil","850.394mil","3637.795mil","T","0.00","10uF"
"C229","SMD_0805_CAPC2012X145N","196.85mil","433.071mil","196.85mil","433.071mil","232.284mil","433.071mil","T","180.00","22uF"
"C228","SMD_0805_CAPC2012X145N","196.85mil","511.811mil","196.85mil","511.811mil","232.284mil","511.811mil","T","180.00","22uF"
"C227","SMD_0603_CAPC1608X95N","1771.653mil","645.669mil","1771.653mil","645.669mil","1771.653mil","614.173mil","T","90.00","470nF"
"C226","SMD_0805_CAPC2012X145N","2165.354mil","1535.433mil","2165.354mil","1535.433mil","2129.921mil","1535.433mil","T","0.00","22uF"
"C225","SMD_0805_CAPC2012X145N","2165.354mil","1614.173mil","2165.354mil","1614.173mil","2129.921mil","1614.173mil","T","0.00","22uF"
"C224","SMD_0805_CAPC2012X145N","2165.354mil","1692.913mil","2165.354mil","1692.913mil","2129.921mil","1692.913mil","T","0.00","22uF"
"C223","SMD_0805_CAPC2012X145N","2165.354mil","1771.653mil","2165.354mil","1771.653mil","2129.921mil","1771.653mil","T","0.00","22uF"
"C222","SMD_0805_CAPC2012X145N","2165.354mil","1850.394mil","2165.354mil","1850.394mil","2129.921mil","1850.394mil","T","0.00","22uF"
"C221","SMD_0805_CAPC2012X145N","2165.354mil","1929.134mil","2165.354mil","1929.134mil","2129.921mil","1929.134mil","T","0.00","22uF"
"C220","SMD_0805_CAPC2012X145N","2165.354mil","1062.992mil","2165.354mil","1062.992mil","2129.921mil","1062.992mil","T","0.00","22uF"
"C22","SMD_0603_CAPC1608X95N","2354.782mil","3202.35mil","2354.782mil","3202.35mil","2386.278mil","3202.35mil","T","180.00","10uF"
"C219","SMD_0805_CAPC2012X145N","2165.354mil","1141.732mil","2165.354mil","1141.732mil","2129.921mil","1141.732mil","T","0.00","22uF"
"C218","SMD_0805_CAPC2012X145N","2165.354mil","1220.472mil","2165.354mil","1220.472mil","2129.921mil","1220.472mil","T","0.00","22uF"
"C217","SMD_0805_CAPC2012X145N","2165.354mil","1299.213mil","2165.354mil","1299.213mil","2129.921mil","1299.213mil","T","0.00","22uF"
"C21","SMD_0805_CAPC2012X145N","885.827mil","3559.055mil","885.827mil","3559.055mil","850.394mil","3559.055mil","T","0.00","10uF"
"C206","SMD_0805_CAPC2012X145N","2165.354mil","1377.953mil","2165.354mil","1377.953mil","2129.921mil","1377.953mil","T","0.00","22uF"
"C205","SMD_0805_CAPC2012X145N","2362.331mil","2395.07mil","2362.331mil","2395.07mil","2397.764mil","2395.07mil","T","180.00","22uF"
"C203","SMD_0805_CAPC2012X145N","2362.331mil","2473.811mil","2362.331mil","2473.811mil","2397.764mil","2473.811mil","T","180.00","22uF"
"C202","SMD_0805_CAPC2012X145N","2716.535mil","2169.291mil","2716.535mil","2169.291mil","2716.535mil","2204.724mil","T","270.00","22uF"
"C200","SMD_0805_CAPC2012X145N","2795.276mil","2169.291mil","2795.276mil","2169.291mil","2795.276mil","2204.724mil","T","270.00","22uF"
"C20","SMD_0805_CAPC2012X145N","751.968mil","3803.15mil","751.968mil","3803.15mil","751.968mil","3767.716mil","T","90.00","10uF"
"C2","SMD_0603_CAPC1608X95N","2940.945mil","692.913mil","2940.945mil","692.913mil","2972.441mil","692.913mil","T","180.00","10uF"
"C199","SMD_0805_CAPC2012X145N","2874.016mil","2169.291mil","2874.016mil","2169.291mil","2874.016mil","2204.724mil","T","270.00","22uF"
"C197","SMD_0805_CAPC2012X145N","2952.756mil","2169.291mil","2952.756mil","2169.291mil","2952.756mil","2204.724mil","T","270.00","22uF"
"C196","SMD_0805_CAPC2012X145N","897.764mil","2788.771mil","897.764mil","2788.771mil","933.197mil","2788.771mil","T","180.00","22uF"
"C194","SMD_0805_CAPC2012X145N","897.764mil","2710.031mil","897.764mil","2710.031mil","933.197mil","2710.031mil","T","180.00","22uF"
"C193","SMD_0805_CAPC2012X145N","897.764mil","2631.291mil","897.764mil","2631.291mil","933.197mil","2631.291mil","T","180.00","22uF"
"C191","SMD_0805_CAPC2012X145N","897.764mil","2552.551mil","897.764mil","2552.551mil","933.197mil","2552.551mil","T","180.00","22uF"
"C190","SMD_0805_CAPC2012X145N","1377.953mil","2169.291mil","1377.953mil","2169.291mil","1377.953mil","2204.724mil","T","270.00","22uF"
"C19","SMD_0805_CAPC2012X145N","196.85mil","1692.913mil","196.85mil","1692.913mil","232.284mil","1692.913mil","T","180.00","22uF"
"C188","SMD_0805_CAPC2012X145N","1456.693mil","2169.291mil","1456.693mil","2169.291mil","1456.693mil","2204.724mil","T","270.00","22uF"
"C187","SMD_0805_CAPC2012X145N","3082.677mil","2551.181mil","3082.677mil","2551.181mil","3047.244mil","2551.181mil","T","0.00","22uF"
"C186","SMD_0805_CAPC2012X145N","2165.354mil","1456.693mil","2165.354mil","1456.693mil","2129.921mil","1456.693mil","T","0.00","22uF"
"C185","SMD_0805_CAPC2012X145N","2165.354mil","590.551mil","2165.354mil","590.551mil","2129.921mil","590.551mil","T","0.00","22uF"
"C184","SMD_0805_CAPC2012X145N","2165.354mil","669.291mil","2165.354mil","669.291mil","2129.921mil","669.291mil","T","0.00","22uF"
"C183","SMD_0805_CAPC2012X145N","2165.354mil","748.032mil","2165.354mil","748.032mil","2129.921mil","748.032mil","T","0.00","22uF"
"C182","SMD_0805_CAPC2012X145N","2165.354mil","826.772mil","2165.354mil","826.772mil","2129.921mil","826.772mil","T","0.00","22uF"
"C181","SMD_0805_CAPC2012X145N","2165.354mil","905.512mil","2165.354mil","905.512mil","2129.921mil","905.512mil","T","0.00","22uF"
"C180","SMD_0805_CAPC2012X145N","2165.354mil","984.252mil","2165.354mil","984.252mil","2129.921mil","984.252mil","T","0.00","22uF"
"C18","SMD_0805_CAPC2012X145N","196.85mil","1614.173mil","196.85mil","1614.173mil","232.284mil","1614.173mil","T","180.00","22uF"
"C179","SMD_0805_CAPC2012X145N","1377.953mil","196.85mil","1377.953mil","196.85mil","1377.953mil","232.284mil","T","270.00","22uF"
"C178","SMD_0805_CAPC2012X145N","1456.693mil","196.85mil","1456.693mil","196.85mil","1456.693mil","232.284mil","T","270.00","22uF"
"C177","SMD_0805_CAPC2012X145N","1535.433mil","196.85mil","1535.433mil","196.85mil","1535.433mil","232.284mil","T","270.00","22uF"
"C176","SMD_0805_CAPC2012X145N","897.764mil","2395.07mil","897.764mil","2395.07mil","933.197mil","2395.07mil","T","180.00","22uF"
"C175","SMD_0805_CAPC2012X145N","897.764mil","2473.811mil","897.764mil","2473.811mil","933.197mil","2473.811mil","T","180.00","22uF"
"C173","SMD_0805_CAPC2012X145N","1062.992mil","2169.291mil","1062.992mil","2169.291mil","1062.992mil","2204.724mil","T","270.00","22uF"
"C172","SMD_0805_CAPC2012X145N","1141.732mil","2169.291mil","1141.732mil","2169.291mil","1141.732mil","2204.724mil","T","270.00","22uF"
"C170","SMD_0805_CAPC2012X145N","1220.472mil","2169.291mil","1220.472mil","2169.291mil","1220.472mil","2204.724mil","T","270.00","22uF"
"C17","SMD_0402_CAPC1005X55N","2511.811mil","1271.653mil","2511.811mil","1271.653mil","2511.811mil","1253.937mil","T","90.00","100nF"
"C169","SMD_0805_CAPC2012X145N","1630.047mil","2946.252mil","1630.047mil","2946.252mil","1665.48mil","2946.252mil","T","180.00","22uF"
"C168","SMD_0805_CAPC2012X145N","1614.173mil","196.85mil","1614.173mil","196.85mil","1614.173mil","232.284mil","T","270.00","22uF"
"C166","SMD_0805_CAPC2012X145N","1630.047mil","2867.511mil","1630.047mil","2867.511mil","1665.48mil","2867.511mil","T","180.00","22uF"
"C165","SMD_0805_CAPC2012X145N","1692.913mil","196.85mil","1692.913mil","196.85mil","1692.913mil","232.284mil","T","270.00","22uF"
"C164","SMD_0805_CAPC2012X145N","1771.653mil","196.85mil","1771.653mil","196.85mil","1771.653mil","232.284mil","T","270.00","22uF"
"C163","SMD_0805_CAPC2012X145N","905.512mil","196.85mil","905.512mil","196.85mil","905.512mil","232.284mil","T","270.00","22uF"
"C162","SMD_0805_CAPC2012X145N","984.252mil","196.85mil","984.252mil","196.85mil","984.252mil","232.284mil","T","270.00","22uF"
"C161","SMD_0805_CAPC2012X145N","1062.992mil","196.85mil","1062.992mil","196.85mil","1062.992mil","232.284mil","T","270.00","22uF"
"C160","SMD_0805_CAPC2012X145N","1141.732mil","196.85mil","1141.732mil","196.85mil","1141.732mil","232.284mil","T","270.00","22uF"
